"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"__alignment_not_unique",1125726.41337072,-0.164734506888627,0.311390635577147,-0.529028455153442,0.596785710616086,0.929700915013602
"__ambiguous",911819.097655974,0.019981090285719,0.0487143609275985,0.410168375510783,0.681682437708947,0.953142466058961
"__no_feature",2849131.76387021,0.0960222819925106,0.119022246275233,0.80675911434627,0.419805278937903,0.859188963803126
"__not_aligned",638906.549611833,-0.0461649200654874,0.106716030054762,-0.432595928107499,0.665308348135163,0.951280790350618
"__too_low_aQual",1694300.00512302,-0.130092059106612,0.243501505186764,-0.534255667154222,0.59316465986028,0.929366604401249
"ENSG00000000003.15",466.08216946948,-0.393618166070421,0.169531932748558,-2.32179365673968,0.0202440489821676,0.239328475475853
"ENSG00000000419.13",491.374708568032,0.110303982083146,0.15666706396459,0.704066185270931,0.481391557247676,0.889934793322289
"ENSG00000000457.14",503.822520152225,0.10430436683965,0.154500502253995,0.675106975821841,0.499607801981157,0.894406630368393
"ENSG00000000460.17",60.9826069383528,-0.445933881936652,0.283804181268466,-1.57127312199399,0.116119221630614,0.550124922575879
"ENSG00000000971.16",13488.7030286238,1.10357703625493,0.398354759308622,2.7703372696495,0.00559982743020076,0.111984939212565
"ENSG00000001036.14",1251.55593582404,-0.427009593504779,0.192151886555248,-2.22225033102657,0.0262663927674429,0.272441371207489
"ENSG00000001084.13",864.443863071313,-0.247161437415345,0.298910407637843,-0.826874645712582,0.408308115470796,0.854056827547006
"ENSG00000001167.14",488.324553503446,-0.188422942969565,0.191329957229531,-0.984806277584235,0.32471923649783,0.80110079986883
"ENSG00000001460.18",178.551495719919,0.214535636710364,0.255377932899668,0.840071161491663,0.400868488345899,0.849236397858628
"ENSG00000001461.17",1906.88880643119,0.30619410356969,0.326434813954401,0.937994633171884,0.348247168163135,0.816921811211158
"ENSG00000001497.17",521.047665293419,0.127615896906745,0.127077798295886,1.0042344030041,0.315265643300279,0.794211516923313
"ENSG00000001561.7",21.5862291544917,-0.958311193693468,1.33189591983896,-0.71950906930426,0.471827316240847,0.886545008445477
"ENSG00000001617.12",1245.93549828973,-0.287209568264832,0.521246102265192,-0.551005690050628,0.581629773983651,0.925257364027973
"ENSG00000001629.10",2550.19040201336,-0.273515489259077,0.222696424167545,-1.2281988374151,0.219372335032463,0.70622605429241
"ENSG00000001630.17",430.923835598834,-0.817895730254315,0.543449150693057,-1.50500875603772,0.132321825605982,0.581632213547928
"ENSG00000001631.16",271.463716787529,0.200734485320183,0.131737614704381,1.52374464780337,0.127572511560915,0.575654200570319
"ENSG00000002016.18",199.773664248535,0.0519773617614335,0.141765105381557,0.366644257213634,0.71388439126486,0.962495985584939
"ENSG00000002079.14",33.5509140122096,-2.7063652382373,1.47316955745576,-1.83710369559315,0.0661945887195104,0.435440817239863
"ENSG00000002330.14",805.639057145464,-0.164564367362704,0.298892176130523,-0.550581047296603,0.581920904073464,0.925257364027973
"ENSG00000002549.12",18890.6566512705,-0.0762786081431955,0.397064742086417,-0.192106223640966,0.847658999950932,0.98587207124592
"ENSG00000002586.20_PAR_Y",2730.97915615557,-0.500678651055993,0.513680075908371,-0.974689645438579,0.329714230737423,0.805068437578545
"ENSG00000002745.13",8.32960867067378,2.11053156934478,1.31260573487885,1.60789452099993,0.107858282030617,0.535275569699599
"ENSG00000002746.15",270.231187344385,0.113586739371405,0.676040494844072,0.16801765609855,0.866569388978016,0.989775443698855
"ENSG00000002822.15",11.670030698648,-0.201609406865133,0.460091805797551,-0.438193865495282,0.661245755144615,0.950594025278106
"ENSG00000002834.18",10779.7656362059,-0.0540020516883506,0.253371192276658,-0.213134142058997,0.831222334887963,0.983745792770441
"ENSG00000002919.15",285.288626463968,0.0138947263412936,0.289333553598637,0.0480232111639854,0.961697744111961,0.998581354780671
"ENSG00000002933.9",83.7770536759072,0.727986717086711,2.40287333973744,0.302965081449635,NA,NA
"ENSG00000003056.8",1950.62510256055,0.10171934666089,0.150639738064618,0.675249094082042,0.499517520217536,0.894334646010968
"ENSG00000003096.14",116.202373839703,-0.589203876326315,0.979722691290946,-0.601398621838534,0.54757451638198,0.911794475028932
"ENSG00000003137.8",37.8383099103097,-0.53376790285271,0.799045393407347,-0.668006983403756,0.504129134800633,0.896852453944737
"ENSG00000003249.14",72.933881985702,-0.926055064261457,0.5189119442333,-1.78460926666415,0.0743247172827607,0.458079287573288
"ENSG00000003393.15",861.597169885073,-0.163737828857631,0.096674633134383,-1.69370002811416,0.0903222991334875,0.496584851035864
"ENSG00000003400.15",107.563666731933,-0.662751485001443,0.681138442908239,-0.97300554960855,0.330550543924843,0.805376628200313
"ENSG00000003402.20",8616.02426228207,1.10995265795055,0.175025696155888,6.34165543876462,2.27309253291316e-10,1.30966792678587e-07
"ENSG00000003436.16",3585.46951489521,0.44636663579229,0.32311993462032,1.38142710482035,0.167147676689686,0.636935742283869
"ENSG00000003509.16",273.641686574161,0.319991288347423,0.172107460153849,1.85925286481701,0.062991304707116,0.42861104294894
"ENSG00000003756.17",3045.77723819369,0.079507749411312,0.12610714454626,0.630477755224612,0.528382052301615,0.905809623240253
"ENSG00000003987.14",31.4931079247279,-0.190471366003113,0.339075127587303,-0.561737946862739,0.574294576054837,0.923993780238351
