"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"__alignment_not_unique",1125726.41337072,-0.0750846343612427,0.440373122626515,-0.170502309299477,0.864615118397029,0.999471434321522
"__ambiguous",911819.097655974,0.117218167234552,0.0688923285586848,1.70146908497514,0.088854938218346,0.926925656296023
"__no_feature",2849131.76387021,0.178970379205695,0.168323083732512,1.06325511175938,0.287666275673986,0.999471434321522
"__not_aligned",638906.549611833,0.0861010829733949,0.150919521185395,0.570509913476502,0.568331900248234,0.999471434321522
"__too_low_aQual",1694300.00512302,-0.00929357337570929,0.344363239026748,-0.0269877046167155,0.978469540755348,0.999471434321522
"ENSG00000000003.15",466.08216946948,-0.59416943399959,0.240999633998477,-2.46543708030422,0.0136846207168337,0.588842168584543
"ENSG00000000419.13",491.374708568032,0.23742701023092,0.221210559915904,1.07330775854996,0.283133055275242,0.999471434321522
"ENSG00000000457.14",503.822520152225,0.0642779253968993,0.217794417913549,0.295131188451366,0.767893665331836,0.999471434321522
"ENSG00000000460.17",60.9826069383528,0.225724885469502,0.398126187634049,0.566968193704919,0.570735791209848,0.999471434321522
"ENSG00000000971.16",13488.7030286238,1.41416753324004,0.56323669065496,2.5107873061245,0.0120462252649264,0.568411891725383
"ENSG00000001036.14",1251.55593582404,-0.174906150570872,0.271716291766914,-0.643708735436856,0.519764324294197,0.999471434321522
"ENSG00000001084.13",864.443863071313,-0.5175196531735,0.422701603940822,-1.22431438241231,0.220833653398808,0.99394458928083
"ENSG00000001167.14",488.324553503446,0.166439552063168,0.270193733450694,0.616000785575363,0.537894001316945,0.999471434321522
"ENSG00000001460.18",178.551495719919,-0.134503901611335,0.363634983071847,-0.369887133727063,0.711466588435292,0.999471434321522
"ENSG00000001461.17",1906.88880643119,-0.256043522647344,0.461926227254554,-0.554295269547978,0.579376787184908,0.999471434321522
"ENSG00000001497.17",521.047665293419,0.109002185608491,0.180019569738362,0.605501867196512,0.544845584409407,0.999471434321522
"ENSG00000001561.7",21.5862291544917,-0.307691390340494,1.88613457292629,-0.163133317610057,0.87041346750397,0.999471434321522
"ENSG00000001617.12",1245.93549828973,-0.911124187035607,0.737787525228591,-1.2349411665009,0.2168524010135,0.99394458928083
"ENSG00000001629.10",2550.19040201336,0.368714460809128,0.314888600536614,1.17093619832788,0.241624423594998,0.999471434321522
"ENSG00000001630.17",430.923835598834,0.053099903350152,0.766423147169462,0.069282750066017,0.944764556193767,0.999471434321522
"ENSG00000001631.16",271.463716787529,0.0930778888225016,0.188457674597422,0.493892801242146,0.621381888844249,0.999471434321522
"ENSG00000002016.18",199.773664248535,-0.131659755581114,0.203494143080655,-0.646995307029209,0.517634980783381,0.999471434321522
"ENSG00000002079.14",33.5509140122096,-0.365099703408145,1.85195975775273,-0.197142352515898,0.843716141204218,0.999471434321522
"ENSG00000002330.14",805.639057145464,-0.30503606969143,0.422720633099363,-0.721602036444079,0.470539186760934,0.999471434321522
"ENSG00000002549.12",18890.6566512705,1.08287902910645,0.560628215760733,1.93154571722199,0.0534156013642364,0.858960784256331
"ENSG00000002586.20_PAR_Y",2730.97915615557,-0.872655312932505,0.726453318446005,-1.20125449326772,0.22965249691094,0.999471434321522
"ENSG00000002745.13",8.32960867067378,1.57566723649948,1.86358770523331,0.845502056101089,0.397830585175584,0.999471434321522
